iter	Passed	Remaining
799	43629	2683215
800	43683	2683153
801	43738	2683071
802	43791	2682923
803	43846	2682920
804	43900	2682819
805	43954	2682763
806	44008	2682638
807	44061	2682504
808	44115	2682414
809	44170	2682382
810	44224	2682336
811	44281	2682422
812	44335	2682327
813	44390	2682289
814	44444	2682193
815	44495	2681954
816	44548	2681815
817	44603	2681787
818	44656	2681614
819	44712	2681673
820	44767	2681624
821	44821	2681539
822	44875	2681467
823	44930	2681445
824	44984	2681378
825	45039	2681334
826	45094	2681267
827	45148	2681194
828	45200	2681027
829	45256	2681017
830	45311	2681001
831	45359	2680571
832	45413	2680458
833	45456	2679759
834	45509	2679604
835	45564	2679573
836	45618	2679503
837	45673	2679455
838	45732	2679705
839	45788	2679722
840	45843	2679716
841	45898	2679664
842	45953	2679632
843	46006	2679503
844	46062	2679502
845	46116	2679464
846	46170	2679343
847	46223	2679236
848	46277	2679162
849	46332	2679132
850	46386	2679027
851	46441	2678984
852	46494	2678831
853	46549	2678811
854	46603	2678775
855	46658	2678712
856	46712	2678642
857	46766	2678545
858	46821	2678517
859	46876	2678474
860	46930	2678434
861	46983	2678270
862	47036	2678154
863	47091	2678132
864	47137	2677545
865	47191	2677466
866	47245	2677436
867	47300	2677409
868	47355	2677380
869	47409	2677264
870	47465	2677321
871	47519	2677240
872	47575	2677229
873	47629	2677174
874	47683	2677111
875	47738	2677050
876	47789	2676816
877	47844	2676780
878	47899	2676734
879	47953	2676671
880	48008	2676638
881	48062	2676569
882	48116	2676504
883	48170	2676383
884	48226	2676445
885	48281	2676399
886	48340	2676612
887	48394	2676537
888	48449	2676467
889	48495	2675947
890	48549	2675871
891	48606	2675946
892	48665	2676151
893	48723	2676301
894	48778	2676290
895	48832	2676207
896	48888	2676197
897	48945	2676291
898	48998	2676164
899	49042	2675565
900	49098	2675574
901	49152	2675464
902	49205	2675329
903	49260	2675324
904	49314	2675263
905	49368	2675184
906	49423	2675125
907	49477	2675042
908	49531	2674952
909	49585	2674913
910	49640	2674839
911	49693	2674715
912	49746	2674621
913	49801	2674561
914	49860	2674732
915	49917	2674840
916	49971	2674764
917	50027	2674789
918	50082	2674753
919	50135	2674643
920	50187	2674410
921	50241	2674338
922	50294	2674234
923	50349	2674167
924	50404	2674152
925	50459	2674115
926	50502	2673491
927	50557	2673463
928	50612	2673414
929	50668	2673422
930	50722	2673361
931	50774	2673184
932	50829	2673146
933	50883	2673056
934	50936	2672927
935	50991	2672936
936	51045	2672815
937	51100	2672791
938	51153	2672681
939	51210	2672752
940	51261	2672517
941	51315	2672426
942	51370	2672390
943	51422	2672241
944	51477	2672181
945	51530	2672079
946	51585	2672026
947	51642	2672113
948	51695	2671979
949	51748	2671836
950	51802	2671763
951	51856	2671676
952	51909	2671568
953	51961	2671399
954	52016	2671363
955	52070	2671258
956	52125	2671232
957	52178	2671148
958	52234	2671154
959	52294	2671357
960	52338	2670769
961	52392	2670696
962	52446	2670641
963	52501	2670596
964	52555	2670536
965	52609	2670473
966	52663	2670386
967	52717	2670318
968	52771	2670222
969	52825	2670158
970	52880	2670091
971	52934	2670040
972	52988	2669971
973	53044	2669975
974	53092	2669607
975	53145	2669463
976	53198	2669367
977	53251	2669230
978	53301	2668932
979	53356	2668910
980	53410	2668813
981	53465	2668802
982	53518	2668696
983	53571	2668564
984	53629	2668673
985	53683	2668612
986	53737	2668546
987	53791	2668446
988	53845	2668354
989	53900	2668342
990	53955	2668295
991	54008	2668178
992	54061	2668053
993	54114	2667956
994	54173	2668090
995	54226	2668009
996	54282	2667996
997	54337	2667962
998	54390	2667869
999	54445	2667848
1000	54499	2667746
1001	54550	2667512
1002	54604	2667431
1003	54657	2667327
1004	54712	2667299
1005	54769	2667361
1006	54823	2667308
1007	54878	2667267
1008	54934	2667273
1009	54988	2667190
1010	55042	2667142
1011	55096	2667044
1012	55150	2666967
1013	55203	2666864
1014	55261	2666972
1015	55315	2666899
1016	55368	2666795
1017	55423	2666731
1018	55477	2666662
1019	55530	2666557
1020	55585	2666535
1021	55640	2666486
1022	55691	2666272
1023	55745	2666185
1024	55798	2666073
1025	55853	2666048
1026	55907	2665956
1027	55960	2665836
1028	56013	2665751
1029	56067	2665662
1030	56122	2665640
1031	56180	2665740
1032	56233	2665637
1033	56288	2665569
1034	56343	2665542
